Player.NHL,Mid.Age,Season,Season.N,Position,Position.N,Team,GP,Total.TOI,EV.TOI,G,A1,A2,Points,Tango,ixG,FO.Diff,iPENT,iPEND,RelCF60,RelCA60,RelCDiff,Total.GS
ALEX.CHIASSON,24,20142015,8,R,1,OTT,76,1016.04,771.04,11,9,6,26,164,13.38,-15,24,7,-1.99,-3.95,1.96,24.49
ALEX.CHIASSON,25,20152016,9,R,1,OTT,77,1046.4,822.25,8,5,1,14,134,9.45,1,18,6,-8.55,0.78,-9.33,6.65
ALEX.CHIASSON,26,20162017,10,R,1,CGY,81,1084.27,915.54,12,5,7,24,153,10.75,-15,15,8,-0.99,-5.32,4.33,26.06
ALEX.EDLER,21,20072008,1,D,2,VAN,75,1594.09,1079.19,8,6,7,21,245,5.52,1,21,8,3.63,-4.63,8.26,27.37
ALEX.EDLER,22,20082009,2,D,2,VAN,79,1668.55,1145.98,10,10,16,36,323,8.44,1,26,12,-0.86,2.54,-3.4,35.63
ALEX.EDLER,23,20092010,3,D,2,VAN,76,1713.12,1207.78,5,19,18,42,354,6.92,-2,20,10,1,2.38,-1.38,46.95
ALEX.EDLER,24,20102011,4,D,2,VAN,51,1234.2,854.49,8,13,12,33,267,6.67,-2,12,4,5.75,2.27,3.48,43.17
ALEX.EDLER,25,20112012,5,D,2,VAN,82,1947.54,1347.84,11,16,22,49,482,11.77,-3,17,8,0.67,1.63,-0.96,61.89
ALEX.EDLER,26,20122013,6,D,2,VAN,45,1068.36,756.38,8,4,10,22,244,5.33,1,17,11,1.1,2.42,-1.32,28.17
ALEX.EDLER,27,20132014,7,D,2,VAN,63,1458.56,1044.8,7,5,10,22,397,8.41,1,25,13,3.93,4.29,-0.36,32.89
ALEX.EDLER,28,20142015,8,D,2,VAN,74,1762.97,1267.53,8,8,15,31,356,8.59,-1,28,10,0.42,-7.3,7.72,41.31
ALEX.EDLER,29,20152016,9,D,2,VAN,52,1259.55,903.56,6,3,11,20,242,4.72,0,24,7,-2.98,-3.51,0.53,19.6
ALEX.EDLER,30,20162017,10,D,2,VAN,68,1645.85,1263.52,6,7,8,21,303,5.76,1,19,6,2.55,3.38,-0.83,19.99
ALEX.FOSTER,23,20072008,1,C,1,TOR,3,10.61,10.51,0,0,0,0,2,0.02,-1,0,0,5.9,-18.98,24.88,0.29
ALEX.FRIESEN,25,20152016,9,C,1,VAN,1,11.7,11.7,0,0,0,0,2,0.16,-1,0,0,-3.57,-12.47,8.9,-0.29
